mmsi,shipname
211141910,HORSTHEINERKNETEN
211142820,ANCHA
211143400,SYOE
211143420,LUNA
211144380,PANTAGRUEL
211145070,BIENE
211145890,NEWCABANA
211146140,KOENIGSBERG
211147010,BALTICSTAR
211147940,STERNA
211148280,QUOVADIS
211148620,VALENZ
211149320,FASTSOLUTION
211149800,SYSEDRON
211149810,POLARIS
211150010,HESSEN4
211150090,VERDANDI
211150810,OFFLIMITS
211151420,SYSALAME
211151850,ORCA
211152250,FREYA
211152480,ESPERANCE
211152530,54
211153170,ANTARES
211153270,SOMMERWIND
211153560,TONGA
211153720,WHITESEAL
211153770,JANILA2
211154130,GRISU
211154990,SEABORNE
211156490,KALAIS
211156670,SEASONS4
211156720,THEA
211157380,NIKAIA
211157920,SNOWBALL
211158350,SYKNIKKER
211158440,VEKTOR
211158510,NIVIUS
211160060,MERLAN
211160360,MAGDALENA
211160600,FELICITAS
211161140,BORSTI
211161380,ILVITELLO
211161470,DAWN
211162100,PALANERI
211162790,JANTAR
211163130,PEPPERMINT
211163160,CYGNUS
211164220,TOKO
211164620,AURELIA
211164790,SYENCANTADA
211165140,MERLIN
211165330,HAVELLAND
211165460,SCHOGGELGAUL
211166330,CONDOR
211166860,SYINDIGO
211166940,FIONA
211167480,TROPICANA
211167590,NORDSTERN
211167870,ARGO
211168280,JANE
211168350,SYVINGA
211168770,GALAXY
211169020,YULIVIA
211170020,MORITZ
211170180,STARLITE
211170350,NILSHOLGERSON
211171030,KLEINERNA
211171140,ADELE
211173330,JABIRU
211174130,FROUKE
211174200,MARIPOSA
211174310,BELUGA
211175560,CONDAWAL
211176380,TOEWERLAND
211176410,PRISCA
211177330,UNIQUEDREAM
211178240,ESCAPE
211180030,HAITHABU
211180180,GIGANT
211181001,RHEINLAND
211181660,NAJADE
211182290,PETZI
211182510,UNDAS
211182570,CUMULUS
211182670,MARIELA
211182700,MASCOTA
211182820,ASAHI
211182940,NAUSIKAASNATHAN2
211183320,VITANOVA
211183470,WHISPER
211183820,SOLSKEN
211183940,HORRIDO
211184060,LANI
211184150,STELLA
211184550,LOSGORRIONES
211184640,IRISABICHT
211184870,THETIS
211184970,TITARO
211185020,RATZFATZ
211185130,NESTOR
211185270,ALDEBARAN
211185660,SPOEKENKIEKER
211186010,SYDREAM
211186240,SEVENCS
211186600,TOFUA
211187150,ELORIN
211187850,BRYNJA
211188190,VERITAS
211188840,MUXX
211189010,ALLEGRO
211189030,MOEVE
211189370,AKIRI
211189470,EOS
211189670,FREESPIRIT
211190090,NAJA
211190110,POLLUX
211191010,RENAISSANCE
211191850,AURORA
211192460,DEEPBLUE
211192750,LILLESOL
211193090,HEIDEWITZKA
211193210,ELISALU
211194670,TOM
211195090,BARECK
211195320,GERTA
211196470,SYLUNAELLA
211196950,FEUERVOGEL
211197570,BOREAS
211197740,BALU
211198020,SYREKE2
211198060,AMATAMARE
211198180,CHINOOK
211198530,MICHELLE
211200090,WERA
211200830,SYWATTWURM
211201210,ADENA
211201290,SHEHERAZADE
211201530,LOTTI
211202050,KARINQUANDT
211202990,BOTTLEIMP
211204030,DONNA
211204380,SYVELANAUTICA
211204530,JUPITER4
211204680,EGOISTE
211204960,CARMELAN
211205570,CASPAR
211205590,GUENTHERSCHOEPS
211205630,CASSENKNIGGE
211205680,HERMANNONKEN
211205710,BALTRUM
211205730,STRALSUND
211205740,ZANDER
211206380,IMAGINE
211206405,LULU
211206450,LULU
211206710,TUENBUEDEL
211207010,ORLANDO
211207110,ELFRIEDE
211207430,ARCA
211208060,JOLE
211210950,SEEHUND16
211212280,KELLE
211212290,WILHELMPULLWER
211212330,AM8
211213690,BUSTER2
211213700,BUSTER3
211213710,BUSTER4
211213730,BUSTER6
211214040,INSELTREUEB
211214360,ANNAH
211214860,MARISTINA
211215470,HITCHHIKEHEIDI
211215840,INDEX
211215980,SYCHARISMA
211216010,STORALE
211217040,BORABORA
211218500,TOCCATA
211218640,ALEA
211219710,SYMARINAIABIONDA
211220250,UBONGO
211221090,LIBRA
211222410,SPIRITOFWADOC
211223230,UECKER
211223860,FIDUCIT
211225080,ELENOR
211225360,POLLUX
211225400,MALENA
211226360,LUNA
211227620,WINDFRAU
211230650,JULIUSPLATE
211230910,HANNOGUENTHER
211231020,FRIDA
211231410,SWEETPEARL
211231790,CHALLENGER
211231960,YATCHAIDA
211232010,PHOENIX
211232230,MAJO
211232240,CAROONA
211232610,SYBOGOMIL
211232840,EILUN
211233230,ELLA
211233950,CRILIA
211235230,STROEPER
211236250,CADIZ
211236770,VIDABOA
211237020,MARLIN
211237330,ALDENTE
211237630,MARIEANNE
211237840,WELLENGLEITER
211241400,RASMUS
211242050,ALICIASTAR
211242220,LAGITANA
211242490,STARDUST
211243300,BADZWISCHENAHN
211244640,ILSE
211245050,RELAX
211245210,SEDINA
211245960,ORTELSBURG3
211245980,PEPONI
211248370,GPOINT
211248700,HILGA
211249710,ANNERIKE
211249750,DREAMCATCHER
211250010,KATANGA
211250700,BONNY
211250750,STENELLA
211250860,MISTY
211251560,BAVARIA
211251850,STINT
211252370,LINDAMARIE
211252690,ROLLINGSTONE
211252910,KIWI
211256870,BORA
211258410,PICOBELLA
211259780,PINTA2
211260980,GALATEIA
211262090,AMELI
211262490,HERMINE2
211265810,PLAYMATE
211265990,SOTTJE
211266050,MAREDE
211266080,TIAMO
211266910,NOVELLE
211268280,HOLIDAY
211268580,MATARENGI3
211268860,TOMAKER
211268880,ACHWAS
211269420,IKA
211271630,MORWAZ2
211273060,CIRCLE
211273620,FIX
211274990,NINA
211275060,URSULA
211275400,FLYINGFISH
211277080,CASPAR
211277200,SAMBAPATI
211277510,FRITZ
211277690,BLUEWATER
211278930,NORDKAP
211279080,ELONNISA
211280710,MOEWE
211280780,MEERLUST
211281980,MAXINA
211282890,ANNA
211283020,LINIE
211283090,MANATEE
211283680,BELAMI
211284020,ARAUSHA
211284080,GEMINI
211284800,SEEHUND
211285030,PAULA
211285420,ASRA
211285570,SYFEE
211285881,ORTEGALTRES
211286050,MAKTOUB
211286370,GALATEA
211286930,TRIXANIAMAWI
211287280,LANKENAU
211287390,AUGUSTA
211287880,JOHNE2
211288720,CAPRICE
211288910,ANNE
211289500,GRACELAND
211290010,MAROU
211290300,AQUAVITA
211291060,HEDAS
211291480,XENIA
211291600,BOREAS
211292180,LAISLA
211292210,MYBOREAS
211292400,SYZENIT
211293130,ALMA
211295070,FRIENDSHIP
211296460,SYSLOWMOTION
211297360,MINOS
211298920,TRAUMZEIT
211301010,CATARINA
211302260,LEEVLINDA
211303760,SIKANA
211303950,BURCHANA
211303980,LAVIDA
211304740,STEPHANIE3
211304890,HANTAYO
211305330,SVEA
211305680,TORDAS
