"LANDING_YEAR","AGENCY_CODE","MANAGEMENT_GROUP_CODE","COMPLEX","PACFIN_SPECIES_COMMON_NAME","PACFIN_SPECIES_CODE","NPS_LANDED_WEIGHT_MTONS","NPS_LANDED_WEIGHT_PPP","NPS_EXVESSEL_REVENUE","NPS_CONFIDENTIAL_FLAG","SPS_LANDED_WEIGHT_MTONS","SPS_LANDED_WEIGHT_PPP","SPS_EXVESSEL_REVENUE","SPS_CONFIDENTIAL_FLAG","CWA_LANDED_WEIGHT_MTONS","CWA_LANDED_WEIGHT_PPP","CWA_EXVESSEL_REVENUE","CWA_CONFIDENTIAL_FLAG","CLW_LANDED_WEIGHT_MTONS","CLW_LANDED_WEIGHT_PPP","CLW_EXVESSEL_REVENUE","CLW_CONFIDENTIAL_FLAG","WA5_LANDED_WEIGHT_MTONS","WA5_LANDED_WEIGHT_PPP","WA5_EXVESSEL_REVENUE","WA5_CONFIDENTIAL_FLAG","TOTAL_LANDED_WEIGHT_MTONS","TOTAL_LANDED_WEIGHT_PPP","TOTAL_EXVESSEL_REVENUE","TOTAL_CONFIDENTIAL_FLAG"
"1982","W","GRND","ROCK","UNSP. POP GROUP","UPOP",23.4,.19,9871,"",,,,"*",10.2,.2,4540,"",19.2,.21,8803,"",,,,"",52.8,,23214,"*"
"1982","W","GRND","ROCK","UNSP. ROCKFISH","URCK",171.2,.21,80846,"",157.3,.27,92974,"",282.7,.19,116085,"",125.1,.19,52390,"",,,,"",736.3,,342295,""
"1982","W","GRND","ROCK","WIDOW ROCKFISH","WDOW",1003.8,.17,371977,"",1365.2,.17,501315,"",2572.3,.18,1004948,"",,,,"*",,,,"",4941.3,,1878240,"*"
"1982","W","GRND","ROCK","YELLOWEYE ROCKFISH","YEYE",1.9,.18,760,"",1,.19,427,"",.8,.19,341,"",,,,"*",,,,"",3.7,,1528,"*"
"1982","W","GRND","ROCK","YELLOWMOUTH ROCKFISH","YMTH",.3,.18,100,"",,,,"*",.8,.19,325,"",,,,"*",,,,"",1.1,,425,"*"
"1982","W","GRND","ROCK","YELLOWTAIL ROCKFISH","YTRK",935.3,.18,370961,"",1303.7,.17,494532,"",2680.4,.18,1085007,"",,,,"*",,,,"",4919.4,,1950500,"*"
"1982","W","GRND","ROND","LINGCOD","LCOD",327.5,.34,245190,"",223,.29,142749,"",353.1,.24,189685,"",92.7,.24,48627,"",,,,"",996.3,,626251,""
"1982","W","GRND","ROND","PACIFIC COD","PCOD",1046.5,.22,504092,"",519.3,.22,249039,"",36.2,.24,19049,"",,,,"*",,,,"",1602,,772180,"*"
"1982","W","GRND","ROND","WALLEYE POLLOCK","PLCK",81.5,.11,19919,"",7.3,.15,2402,"",,,,"*",,,,"",,,,"",88.8,,22321,"*"
"1982","W","GRND","ROND","PACIFIC WHITING","PWHT",,,,"*",5214.6,.02,264359,"",,,,"",,,,"*",,,,"",5214.6,,264359,"*"
