"LANDING_YEAR","PACFIN_SPECIES_CODE","PACFIN_SPECIES_COMMON_NAME","FIRST_QTR_LANDED_WEIGHT_MTONS","FIRST_QTR_EXVESSEL_REVENUE","FIRST_QTR_LANDED_PPP","FIRST_QTR_NUMBER_OF_VESSELS","FIRST_QTR_NUMBER_OF_DEALERS","FIRST_QTR_CONFIDENTIAL_FLAG","SECOND_QTR_LANDED_WEIGHT_MTONS","SECOND_QTR_EXVESSEL_REVENUE","SECOND_QTR_LANDED_PPP","SECOND_QTR_NUMBER_OF_VESSELS","SECOND_QTR_NUMBER_OF_DEALERS","SECOND_QTR_CONFIDENTIAL_FLAG","THIRD_QTR_LANDED_WEIGHT_MTONS","THIRD_QTR_EXVESSEL_REVENUE","THIRD_QTR_LANDED_PPP","THIRD_QTR_NUMBER_OF_VESSELS","THIRD_QTR_NUMBER_OF_DEALERS","THIRD_QTR_CONFIDENTIAL_FLAG","FOURTH_QTR_LANDED_WEIGHT_MTONS","FOURTH_QTR_EXVESSEL_REVENUE","FOURTH_QTR_LANDED_PPP","FOURTH_QTR_NUMBER_OF_VESSELS","FOURTH_QTR_NUMBER_OF_DEALERS","FOURTH_QTR_CONFIDENTIAL_FLAG"
"1989","UMCK","UNSP. MACKEREL",6277.85,990040.85,.07,52,35," ",4029.97,578989.1,.07,102,49," ",11202.62,1480494.33,.06,190,66," ",5085.78,647277.45,.06,73,41," "
"1989 TOTAL","","",30288.13,5690389.33,.09,,," ",18223.77,3224993.53,.08,,," ",25737.37,4111336.64,.07,,," ",28486.84,4084242.35,.07,,," "
"1990","CMCK","CHUB MACKEREL",3146.13,392129.52,.06,74,29," ",4273.81,603604.31,.06,95,42," ",17234.86,2300779.63,.06,294,72," ",6379.4,872803.48,.06,104,47," "
"1990","JMCK","JACK MACKEREL",1048.71,131549.11,.06,24,10," ",458.87,63678.28,.06,43,21," ",1120.62,151268.53,.06,80,24," ",626.12,96198.35,.07,26,14," "
"1990","MSQD","MARKET SQUID",3865.76,491224.05,.06,37,20," ",3683.86,604338.58,.07,30,18," ",2445.44,470972.35,.09,39,32," ",18451.73,3163350.09,.08,66,37," "
"1990","NANC","NORTHERN ANCHOVY",183.6,21266.37,.05,8,8," ",1569.67,281630.04,.08,21,18," ",1365.69,275316.49,.09,20,18," ",139.66,47014.96,.15,9,8," "
"1990","PSDN","PACIFIC SARDINE",1292.72,147654.1,.05,31,14," ",159.11,20484.53,.06,25,14," ",145.09,14890.69,.05,27,14," ",67.31,7553.48,.05,19,9," "
"1990","UMCK","UNSP. MACKEREL",4862.44,602140.87,.06,49,27," ",494.86,71817.95,.07,105,46," ",2724.89,371577.34,.06,216,75," ",956.93,139450.8,.07,55,35," "
"1990 TOTAL","","",14399.37,1785964.02,.06,,," ",10640.18,1645553.69,.07,,," ",25036.59,3584805.04,.06,,," ",26621.14,4326371.16,.07,,," "
"1991","CMCK","CHUB MACKEREL",6485.3,885037.79,.06,76,34," ",7292.22,988550.59,.06,97,40," ",8756.04,2156012.41,.11,130,52," ",9193.92,1229832.8,.06,77,34," "
"1991","JMCK","JACK MACKEREL",1089.25,140081.33,.06,21,8," ",114.39,24995.43,.1,17,11," ",65.27,12431.2,.09,20,14," ",443.22,71146.2,.07,23,17," "
"1991","MSQD","MARKET SQUID",4877.29,846756.4,.08,36,21," ",51.55,32323.35,.28,7,6," ",7358.54,1765093.61,.11,34,25," ",25100.9,3428151,.06,65,30," "
"1991","NANC","NORTHERN ANCHOVY",130.85,64928.43,.23,9,8," ",2605.04,295350.87,.05,29,23," ",1041.6,230100.28,.1,20,13," ",290.75,60930.63,.1,12,8," "
"1991","PSDN","PACIFIC SARDINE",4434.73,508453.06,.05,36,15," ",522.1,56365.43,.05,23,13," ",934.8,105127.16,.05,19,13," ",1695.68,223009.55,.06,30,11," "
"1991","UMCK","UNSP. MACKEREL",101.27,15476.54,.07,19,16," ",24.06,10933.71,.21,37,27," ",144.3,36741.01,.12,69,38," ",69.1,18463.86,.12,25,23," "
"1991 TOTAL","","",17118.68,2460733.54,.07,,," ",10609.36,1408519.38,.06,,," ",18300.55,4305505.67,.11,,," ",36793.58,5031534.03,.06,,," "
"1992","CMCK","CHUB MACKEREL",6148.47,727117.69,.05,84,50," ",2466.36,1819845,.33,332,98," ",8364.92,1190311.27,.06,215,75," ",2056.23,265245.02,.06,97,48," "
"1992","JMCK","JACK MACKEREL",447.55,54606.89,.06,30,14," ",409.01,65502.63,.07,34,22," ",391.79,85086.57,.1,39,20," ",277.51,33649.75,.06,39,16," "
"1992","MSQD","MARKET SQUID",2566.25,324026.99,.06,22,17," ",1343.42,238949.47,.08,33,22," ",6274.39,1281207.62,.09,44,26," ",2934.35,601953.82,.09,58,27," "
"1992","NANC","NORTHERN ANCHOVY",124.52,20001.37,.07,10,7," ",545.63,89545.2,.07,23,16," ",332.54,66053.11,.09,14,13," ",162.88,48137.44,.13,11,13," "
"1992","PSDN","PACIFIC SARDINE",4682.33,459796.02,.04,37,15," ",1657.57,256461.43,.07,30,19," ",1101.35,106499.25,.04,33,18," ",10614.44,1052602.61,.04,44,19," "
"1992","UMCK","UNSP. MACKEREL",.51,215,.19,3,3," ",.85,488.08,.26,15,11," ",6.74,3178.13,.21,17,12," ",.26,246.05,.43,6,5," "
"1992 TOTAL","","",13969.63,1585763.96,.05,,," ",6422.85,2470791.81,.17,,," ",16471.73,2732335.95,.08,,," ",16045.67,2001834.69,.06,,," "
"1993","CMCK","CHUB MACKEREL",5835.61,674789.37,.05,82,50," ",1862.91,243087.06,.06,112,56," ",2532.02,324092.13,.06,183,77," ",1867.9,260668.61,.06,95,58," "
"1993","JMCK","JACK MACKEREL",597.95,78376.3,.06,31,15," ",586.29,101108.98,.08,47,26," ",587.21,65709.01,.05,118,42," ",178.04,30188.56,.08,34,21," "
"1993","MSQD","MARKET SQUID",6480.18,1476585,.1,39,21," ",123.1,56597.99,.21,31,23," ",5868.46,2159569.41,.17,51,27," ",30391.74,6603230.65,.1,68,28," "
"1993","NANC","NORTHERN ANCHOVY",169.49,23679,.06,11,9," ",830.39,126152.79,.07,22,16," ",815.12,281288.86,.16,18,15," ",187.65,46816.2,.11,16,11," "
"1993","PSDN","PACIFIC SARDINE",8792.8,881479.72,.05,32,14," ",3126.25,300291.03,.04,33,21," ",315.49,41023.51,.06,16,14," ",3111.42,321957.98,.05,32,17," "
"1993","UMCK","UNSP. MACKEREL",0,0,0,0,0," ",,,,2,2,"*",,,,4,2,"*",,,,1,1,"*"
"1993","XXXX Subtotal","",0,0,0,,," ",,,,,,"*",,,,,,"*",,,,,,"*"
"1993 TOTAL","","",21876.04,3134909.4,.07,,," ",6528.94,827237.85,.06,,,"*",10118.31,2871682.91,.13,,,"*",35736.75,7262862,.09,,,"*"
"1994","CMCK","CHUB MACKEREL",3406.91,349462.1,.05,84,46," ",2310.75,387857.46,.08,128,60," ",2104.99,396921.58,.09,148,74," ",2435.43,298968.5,.06,109,55," "
