"B_mean_avail","B_mean_price","B_wind_max_220_mh","B_dist_to_cog","B_dist_port_to_catch_area_zero","B_dummy_prev_days","B_dummy_prev_year_days","c_msqd","c_psdn","B_d_d","B_unem_rate_part","B_unem_rate_nopart","w_cmck","w_jmck","w_msqd","w_psdn","w_nanc","asc_laa_cmck","asc_mna_cmck","asc_laa_jmck","asc_mna_jmck","asc_laa_msqd","asc_mra_msqd","asc_sba_msqd","asc_sfa_msqd","asc_mna_msqd","asc_laa_psdn","asc_mna_psdn","asc_mna_nanc","asc_sba_nanc","asc_sda_nanc","lambda_part","lambda_laa","lambda_sba","lambda_mna","asc_no_participation","w_nopart","logLike"
1.16087295942414,1.48520641223452,-0.0169903378338105,-0.00308357796669629,-0.00587672589520126,2.10113637174493,0.14659450438853,-4.99993088083784,-1.05410076348102,-0.48449674192012,0.159725149295155,0,-1.34942315506432,-1.10086962710688,-2.21246210890059,-1.45623464951248,-1.15326990658336,-4.27008843377857,-5.36741905291858,-4.42781196005115,-5.55464527884464,-4.50836187848359,-4.91051572889015,-4.51629714999093,-4.70871509120755,-4.46966014199202,-4.0687745648443,-4.67698940117411,-4.83624441113609,-4.53554684309981,-4.89229670279679,0.49289257984676,0.492836026120068,0.279741169833937,0.480369913587343,0,0,-1691.01930724466
1.16084722878814,1.48517713269165,-0.0169914349704356,-0.00308348004936844,-0.00587653739991208,2.10112174986046,0.146595565458481,-4.99993088298008,-1.05409823160768,-0.484481730032934,0.159723743402679,0,-1.34952202295487,-1.10092061724289,-2.21253343890982,-1.45626011611903,-1.15333109046055,-4.27003370542114,-5.3673501462016,-4.42774726793106,-5.55457944581935,-4.50830147090937,-4.91043856160425,-4.51622568023711,-4.70863017287033,-4.46958235705603,-4.06873789581336,-4.67687705336483,-4.83623023752466,-4.53546601389925,-4.89223185665364,0.492881736250216,0.492839070341091,0.279741128002339,0.480370253006751,0,0,-1691.01352050172
1.16081543683035,1.48512495515318,-0.016990714348043,-0.00308324940804529,-0.00587673147561785,2.10105594599875,0.146592702563479,-4.99993088563111,-1.05410243887143,-0.484503372626928,0.159726925752297,0,-1.34949368662098,-1.10095788978072,-2.21256506509325,-1.4562977029607,-1.15332899369139,-4.27000132271925,-5.3673225519225,-4.42766074523574,-5.55453609230067,-4.50822820792144,-4.91036516353691,-4.516121756846,-4.70856793855792,-4.46954137677787,-4.06870363180167,-4.6769031096129,-4.83619718826713,-4.53536449585779,-4.89213011763229,0.492863071442998,0.492833199272786,0.279725144263018,0.480371328151604,0,0,-1691.00868027974
1.16078929197719,1.48513724730028,-0.0169941263495871,-0.00308324466651312,-0.00587713045840157,2.10110472126666,0.146594118583863,-4.99993088872999,-1.05409623687978,-0.484513622475113,0.159719494243264,0,-1.34942064370936,-1.10095263691478,-2.21263309551814,-1.45630369490247,-1.15332776548198,-4.2699152227679,-5.36730794942776,-4.42761690983744,-5.55445968283211,-4.50813691153218,-4.91023333074688,-4.51604086176627,-4.70850920087676,-4.46944264663329,-4.0686032337102,-4.67692487506924,-4.83612391020062,-4.53527594768701,-4.89206113799128,0.492863935264941,0.492847266825873,0.279742554233783,0.480385216214589,0,0,-1691.00341409381
1.16079117085879,1.48512751740898,-0.016994560463207,-0.00308320590589069,-0.00587711357435914,2.10106840802294,0.146591945653758,-4.99993090677347,-1.05407716370849,-0.484521406241513,0.159718791492159,0,-1.34939475186984,-1.10090332185154,-2.21267362399272,-1.45626379672348,-1.15332633798906,-4.26987806565607,-5.36727061759102,-4.42759567685411,-5.55444394664289,-4.50807991706431,-4.91017096303384,-4.5159791429287,-4.70838633718872,-4.46937559918214,-4.06856501567132,-4.67685715519399,-4.83606036110678,-4.53521710376725,-4.89200973554495,0.492851875783598,0.492846784295808,0.279737173694851,0.48038227097284,0,0,-1690.99951165679
1.16078486595236,1.48511696060099,-0.0169946942937911,-0.00308314243144988,-0.005877012052288,2.10105344655116,0.146591820233822,-4.99993091566826,-1.05406960171268,-0.484511357901298,0.159718380149963,0,-1.34939821968658,-1.10088429212884,-2.21268371497525,-1.45625229882477,-1.15332877252571,-4.26986035408492,-5.36724773608131,-4.42757884911037,-5.55442924464182,-4.50806039866492,-4.91015338725653,-4.51595421167653,-4.70838624981654,-4.46935849265801,-4.06854842781465,-4.67682840424326,-4.83604093813314,-4.5351906578478,-4.89198578030493,0.492847271411814,0.492845534976077,0.279733514189932,0.48038027564053,0,0,-1690.99817089685
1.16078145880881,1.48511497749329,-0.0169947736648557,-0.00308312904541049,-0.00587701633813257,2.10104917571958,0.146591659141048,-4.99993090062185,-1.0540671834855,-0.484512225541448,0.159718248254082,0,-1.3494074212443,-1.10089437194824,-2.21268955635371,-1.45626043248737,-1.15333086483317,-4.26985254622352,-5.36724008378162,-4.42757032222866,-5.55442132871917,-4.50805183921399,-4.91014322902917,-4.51594431959201,-4.70837587720254,-4.46934991481588,-4.06854067599306,-4.67682165089058,-4.83603088995118,-4.53517993885951,-4.89197599034976,0.492845615711257,0.49284555825584,0.279732898929154,0.480380130878506,0,0,-1690.99758152176
1.16078142550016,1.48511480142768,-0.016994771540572,-0.00308303097826179,-0.00587698858400728,2.10104900189224,0.146591649506398,-4.99993090328312,-1.05406711713946,-0.484512105648176,0.159718244696663,0,-1.34940710946562,-1.10089461768007,-2.21268973016013,-1.45626059435977,-1.15333080964818,-4.26985230589838,-5.36723983192714,-4.42757006163142,-5.55442091122441,-4.50805151082704,-4.91014290143598,-4.51594394816058,-4.70837552584801,-4.46934954538337,-4.06854040564632,-4.67682106057286,-4.83603084911975,-4.53517958450284,-4.89197569077487,0.492845550530109,0.492845546919204,0.279732865715412,0.480380111919451,0,0,-1690.99599932027
1.16078142553951,1.48511480154074,-0.0169947702623337,-0.00308303280544785,-0.00587697355575441,2.10104900208043,0.146591649699579,-4.9999309032831,-1.05406711713254,-0.484512105671518,0.15971824589821,0,-1.3494071094894,-1.1008946176935,-2.21268973029887,-1.45626059435641,-1.15333080962778,-4.26985230594212,-5.36723983199565,-4.42757006162378,-5.55442091130316,-4.5080515107846,-4.91014290148042,-4.51594394793546,-4.70837552585965,-4.46934954534442,-4.06854040563862,-4.67682106055103,-4.8360308491134,-4.53517958436321,-4.89197569080773,0.492845549645085,0.492845547425068,0.279732865725647,0.480380112091774,0,0,-1690.99596446376
1.16078142563836,1.48511480186329,-0.0169947661579375,-0.00308293526618059,-0.00587694704139814,2.10104900251017,0.146591650044023,-4.99993090328323,-1.05406711711853,-0.484512105676133,0.159718249121821,0,-1.3494071095317,-1.10089461771807,-2.21268973056444,-1.45626059434711,-1.15333080959731,-4.26985230599903,-5.36723983212927,-4.42757006160453,-5.55442091145061,-4.50805151065374,-4.91014290157155,-4.51594394758842,-4.70837552584222,-4.4693495451209,-4.0685404056003,-4.67682106050767,-4.83603084910169,-4.53517958412665,-4.89197569090722,0.492845548467416,0.492845548484996,0.279732865732899,0.480380112477588,0,0,-1690.99440174962
1.1607814256407,1.48511480187078,-0.0169947660629052,-0.00308293455927248,-0.0058769462288535,2.1010490025212,0.146591650053813,-4.99993090328322,-1.05406711711819,-0.484512105677098,0.159718249196925,0,-1.34940710953278,-1.1008946177187,-2.21268973057096,-1.45626059434692,-1.1533308095963,-4.2698523060009,-5.36723983213252,-4.4275700616041,-5.55442091145432,-4.50805151065103,-4.91014290157365,-4.51594394757756,-4.70837552584245,-4.46934954511806,-4.06854040559975,-4.67682106050659,-4.83603084910139,-4.53517958412004,-4.89197569090882,0.492845548429514,0.49284554850955,0.279732865733237,0.480380112486171,0,0,-1690.99438785272
1.1607814256407,1.48511480187078,-0.0169947660629052,-0.00308293455927248,-0.0058769462288535,2.1010490025212,0.146591650053813,-4.99993090328322,-1.05406711711819,-0.484512105677098,0.159718249196925,0,-1.34940710953278,-1.1008946177187,-2.21268973057096,-1.45626059434692,-1.1533308095963,-4.2698523060009,-5.36723983213252,-4.4275700616041,-5.55442091145432,-4.50805151065103,-4.91014290157365,-4.51594394757756,-4.70837552584245,-4.46934954511806,-4.06854040559975,-4.67682106050659,-4.83603084910139,-4.53517958412004,-4.89197569090882,0.492845548429514,0.49284554850955,0.279732865733237,0.480380112486171,0,0,-1690.99438785272
1.1607814256407,1.48511480187078,-0.0169947660629052,-0.00308293455927248,-0.0058769462288535,2.1010490025212,0.146591650053813,-4.99993090328322,-1.05406711711819,-0.484512105677098,0.159718249196925,0,-1.34940710953278,-1.1008946177187,-2.21268973057096,-1.45626059434692,-1.1533308095963,-4.2698523060009,-5.36723983213252,-4.4275700616041,-5.55442091145432,-4.50805151065103,-4.91014290157365,-4.51594394757756,-4.70837552584245,-4.46934954511806,-4.06854040559975,-4.67682106050659,-4.83603084910139,-4.53517958412004,-4.89197569090882,0.492845548429514,0.49284554850955,0.279732865733237,0.480380112486171,0,0,-1690.99438785272
