LANDING_YEAR,PORT_NAME,SDM_90,AGENCY_CODE
2005,LONG BEACH,3.677142616,C
2005,LOS ANGELES,3.917735362,C
2005,MISSION BAY,3.046011536,C
2005,MONTEREY,1.301870671,C
2005,MORRO BAY,2.279542838,C
2005,MOSS LANDING,1.47587127,C
2005,NASELLE,NA,W
2005,NATIONAL CITY,3.099267928,C
2005,NEAH BAY,NA,W
2005,NEWPORT,NA,O
2005,NEWPORT BEACH,3.694752938,C
2005,OCEANSIDE,3.35085093,C
2005,OXNARD,3.582911395,C
2005,PLAYA DEL REY,3.677142616,C
2005,POINT LOMA,3.029253906,C
2005,PORT HUENEME,3.534918946,C
2005,PORT ORFORD,1.245761128,O
2005,PRINCETON / HALF MOON BAY,1.333814252,C
2005,REDONDO BEACH,3.674433453,C
2005,RICHMOND,1.560344538,C
2005,SAN DIEGO,2.938459282,C
2005,SAN FRANCISCO,1.484855724,C
2005,SAN PEDRO,3.643046797,C
2005,SAN SIMEON,1.8435868,C
2005,SANTA BARBARA,3.335337716,C
2005,SANTA CRUZ,1.41427886,C
2005,SANTA MONICA,3.792862185,C
2005,SAUSALITO,0.988838742,C
2005,SEAL BEACH,3.733106502,C
2005,SHELTER COVE,0.19616579,C
2005,SOUTH SAN FRANCISCO,1.406301686,C
2005,TACOMA,NA,W
2005,TERMINAL ISLAND,3.666805072,C
2005,THE DALLES,NA,W
2005,VALLEJO,1.871531653,C
2005,VENTURA,3.608706238,C
2005,WESTPORT,NA,W
2005,WHIDBY ISLAND,NA,W
2005,WILLOW CREEK,1.799044798,C
2005,WILMINGTON,3.677142616,C
2005,WINCHESTER BAY,3.863004071,O
2006,ABERDEEN,NA,W
2006,ALAMEDA,1.312360724,C
2006,ANACORTES,NA,W
2006,ASTORIA,NA,O
2006,AVALON,3.456547836,C
2006,AVILA,1.968377973,C
2006,BELLINGHAM BAY,NA,W
2006,BERKELEY,1.346336778,C
2006,BODEGA BAY,0.506064359,C
2006,CATALINA ISLAND,3.460460222,C
2006,CHARLESTON (COOS BAY),1.300786873,O
2006,CHINOOK,NA,W
2006,CRESCENT CITY,1.14007832,C
2006,DANA POINT,3.576159583,C
2006,DILLON BEACH,0.577376706,C
2006,EMERYVILLE,1.316887559,C
2006,EUREKA,0.610023268,C
2006,FIELDS LANDING,0.486316179,C
2006,FORT BRAGG,0.218566873,C
2006,GARIBALDI (TILLAMOOK),NA,O
2006,GAVIOTA,2.649035784,C
2006,GOLETA,3.06863784,C
2006,GUADALUPE,2.251701832,C
2006,HUMBOLDT,0.767592799,C
2006,HUNTINGTON BEACH,3.704963505,C
2006,ILWACO,NA,W
2006,LACONNER,NA,W
2006,LONG BEACH,3.719341669,C
2006,LOS ANGELES,3.93305449,C
2006,MISSION BAY,3.016964469,C
2006,MONTEREY,0.910287795,C
2006,MORRO BAY,1.87903774,C
2006,MOSS LANDING,1.089449637,C
2006,NASELLE,NA,W
2006,NATIONAL CITY,3.058201403,C
2006,NEAH BAY,NA,W
2006,NEWPORT,NA,O
2006,NEWPORT BEACH,3.690156358,C
2006,OCEANSIDE,3.322287181,C
2006,OXNARD,3.698465597,C
2006,PLAYA DEL REY,3.719341669,C
2006,POINT LOMA,3.00294484,C
2006,PORT HUENEME,3.654652839,C
2006,PORT ORFORD,0.91658818,O
2006,PRINCETON / HALF MOON BAY,0.975518634,C
2006,REDONDO BEACH,3.722808863,C
2006,RICHMOND,1.177616505,C
2006,SAN DIEGO,2.907611467,C
2006,SAN FRANCISCO,1.110826493,C
2006,SAN PEDRO,3.685730649,C
2006,SAN SIMEON,1.448385378,C
2006,SANTA BARBARA,3.441273157,C
2006,SANTA CRUZ,1.0289011,C
2006,SANTA MONICA,3.843471628,C
2006,SAUSALITO,0.775181338,C
2006,SEAL BEACH,3.751792678,C
2006,SHELTER COVE,0.222597974,C
2006,SOUTH SAN FRANCISCO,1.033037025,C
2006,TACOMA,NA,W
2006,TERMINAL ISLAND,3.705100681,C
2006,THE DALLES,NA,W
2006,VALLEJO,1.424080728,C
2006,VENTURA,3.725799057,C
2006,WESTPORT,NA,W
2006,WHIDBY ISLAND,NA,W
2006,WILLOW CREEK,1.366597843,C
2006,WILMINGTON,3.719341669,C
2006,WINCHESTER BAY,2.672212129,O
2007,ABERDEEN,NA,W
2007,ALAMEDA,1.06610852,C
2007,ANACORTES,NA,W
2007,ASTORIA,NA,O
2007,AVALON,3.226326743,C
2007,AVILA,1.05808289,C
2007,BELLINGHAM BAY,NA,W
2007,BERKELEY,1.087790201,C
2007,BODEGA BAY,0.327430402,C
2007,CATALINA ISLAND,3.230544452,C
2007,CHARLESTON (COOS BAY),1.296810006,O
2007,CHINOOK,NA,W
2007,CRESCENT CITY,1.144688695,C
2007,DANA POINT,3.379236479,C
2007,DILLON BEACH,0.391257723,C
2007,EMERYVILLE,1.065776143,C
2007,EUREKA,0.591148015,C
2007,FIELDS LANDING,0.463919206,C
2007,FORT BRAGG,0.063774109,C
2007,GARIBALDI (TILLAMOOK),NA,O
2007,GAVIOTA,2.148019965,C
2007,GOLETA,2.700616055,C
2007,GUADALUPE,1.414722718,C
2007,HUMBOLDT,0.744027919,C
2007,HUNTINGTON BEACH,3.48970357,C
2007,ILWACO,NA,W
2007,LACONNER,NA,W
2007,LONG BEACH,3.493736619,C
2007,LOS ANGELES,3.703908482,C
2007,MISSION BAY,2.858769123,C
2007,MONTEREY,0.527805229,C
