PORT_NAME,AGENCY_CODE,LANDING_YEAR,Model_Predictions
"NATIONAL CITY",C,2019,2.82899812918157
"NATIONAL CITY",C,2014,7.39972236205326
"NATIONAL CITY",C,2009,3.09668718797633
"NATIONAL CITY",C,2004,1.80342582028881
"NATIONAL CITY",C,2012,6.57090080287144
"NATIONAL CITY",C,2021,2.68390412011788
"NATIONAL CITY",C,2015,3.56973558978937
"NATIONAL CITY",C,2016,3.26467668565444
"NATIONAL CITY",C,2018,5.58225053495271
"NATIONAL CITY",C,2017,5.33829988383299
NEWPORT BEACH,C,2000,2.38610591566333
NEWPORT BEACH,C,2006,2.48932743389933
NEWPORT BEACH,C,2001,2.63510074877246
NEWPORT BEACH,C,1998,2.77763981404465
NEWPORT BEACH,C,1999,2.47346194563796
NEWPORT BEACH,C,2007,2.36262068458647
NEWPORT BEACH,C,2002,3.47156583004833
NEWPORT BEACH,C,2010,1.60300998066312
NEWPORT BEACH,C,2005,2.49246742709297
NEWPORT BEACH,C,2013,5.19657930247779
NEWPORT BEACH,C,2008,3.12751241877652
NEWPORT BEACH,C,2003,3.00543918626079
NEWPORT BEACH,C,2011,1.96593386162621
NEWPORT BEACH,C,2019,2.82899812918157
NEWPORT BEACH,C,2014,7.39972236205326
NEWPORT BEACH,C,2009,3.09668718797633
NEWPORT BEACH,C,2004,1.80342582028881
NEWPORT BEACH,C,2012,6.57090080287144
NEWPORT BEACH,C,2021,2.68390412011788
NEWPORT BEACH,C,2015,3.56973558978937
NEWPORT BEACH,C,2016,3.26467668565444
NEWPORT BEACH,C,2018,5.58225053495271
NEWPORT BEACH,C,2017,5.33829988383299
OCEANSIDE,C,2000,2.38610591566333
OCEANSIDE,C,2006,2.48932743389933
OCEANSIDE,C,2001,2.63510074877246
OCEANSIDE,C,1998,2.77763981404465
OCEANSIDE,C,1999,2.47346194563796
OCEANSIDE,C,2007,2.36262068458647
OCEANSIDE,C,2002,3.47156583004833
OCEANSIDE,C,2010,1.60300998066312
OCEANSIDE,C,2005,2.49246742709297
OCEANSIDE,C,2013,5.19657930247779
OCEANSIDE,C,2008,3.12751241877652
OCEANSIDE,C,2003,3.00543918626079
OCEANSIDE,C,2011,1.96593386162621
OCEANSIDE,C,2019,2.82899812918157
OCEANSIDE,C,2014,7.39972236205326
OCEANSIDE,C,2009,3.09668718797633
OCEANSIDE,C,2004,1.80342582028881
OCEANSIDE,C,2012,6.57090080287144
OCEANSIDE,C,2021,2.68390412011788
OCEANSIDE,C,2015,3.56973558978937
OCEANSIDE,C,2016,3.26467668565444
OCEANSIDE,C,2018,5.58225053495271
OCEANSIDE,C,2017,5.33829988383299
OXNARD,C,2000,2.38610591566333
OXNARD,C,2006,2.48932743389933
OXNARD,C,2001,2.63510074877246
OXNARD,C,1998,2.77763981404465
OXNARD,C,1999,2.47346194563796
OXNARD,C,2007,2.36262068458647
OXNARD,C,2002,3.47156583004833
OXNARD,C,2010,1.60300998066312
OXNARD,C,2005,2.49246742709297
OXNARD,C,2013,5.19657930247779
OXNARD,C,2008,3.12751241877652
OXNARD,C,2003,3.00543918626079
OXNARD,C,2011,1.96593386162621
OXNARD,C,2019,2.82899812918157
OXNARD,C,2014,7.39972236205326
OXNARD,C,2009,3.09668718797633
OXNARD,C,2004,1.80342582028881
OXNARD,C,2012,6.57090080287144
OXNARD,C,2021,2.68390412011788
OXNARD,C,2015,3.56973558978937
OXNARD,C,2016,3.26467668565444
OXNARD,C,2018,5.58225053495271
OXNARD,C,2017,5.33829988383299
PLAYA DEL REY,C,2000,2.38610591566333
PLAYA DEL REY,C,2006,2.48932743389933
PLAYA DEL REY,C,2001,2.63510074877246
PLAYA DEL REY,C,1998,2.77763981404465
PLAYA DEL REY,C,1999,2.47346194563796
PLAYA DEL REY,C,2007,2.36262068458647
PLAYA DEL REY,C,2002,3.47156583004833
PLAYA DEL REY,C,2010,1.60300998066312
PLAYA DEL REY,C,2005,2.49246742709297
PLAYA DEL REY,C,2013,5.19657930247779
PLAYA DEL REY,C,2008,3.12751241877652
PLAYA DEL REY,C,2003,3.00543918626079
PLAYA DEL REY,C,2011,1.96593386162621
PLAYA DEL REY,C,2019,2.82899812918157
PLAYA DEL REY,C,2014,7.39972236205326
PLAYA DEL REY,C,2009,3.09668718797633
PLAYA DEL REY,C,2004,1.80342582028881
PLAYA DEL REY,C,2012,6.57090080287144
PLAYA DEL REY,C,2021,2.68390412011788
PLAYA DEL REY,C,2015,3.56973558978937
PLAYA DEL REY,C,2016,3.26467668565444
PLAYA DEL REY,C,2018,5.58225053495271
PLAYA DEL REY,C,2017,5.33829988383299
POINT LOMA,C,2000,2.38610591566333
POINT LOMA,C,2006,2.48932743389933
POINT LOMA,C,2001,2.63510074877246
POINT LOMA,C,1998,2.77763981404465
POINT LOMA,C,1999,2.47346194563796
POINT LOMA,C,2007,2.36262068458647
POINT LOMA,C,2002,3.47156583004833
POINT LOMA,C,2010,1.60300998066312
POINT LOMA,C,2005,2.49246742709297
POINT LOMA,C,2013,5.19657930247779
POINT LOMA,C,2008,3.12751241877652
POINT LOMA,C,2003,3.00543918626079
POINT LOMA,C,2011,1.96593386162621
POINT LOMA,C,2019,2.82899812918157
POINT LOMA,C,2014,7.39972236205326
POINT LOMA,C,2009,3.09668718797633
POINT LOMA,C,2004,1.80342582028881
POINT LOMA,C,2012,6.57090080287144
POINT LOMA,C,2021,2.68390412011788
POINT LOMA,C,2015,3.56973558978937
POINT LOMA,C,2016,3.26467668565444
POINT LOMA,C,2018,5.58225053495271
POINT LOMA,C,2017,5.33829988383299
PORT HUENEME,C,2000,2.38610591566333
PORT HUENEME,C,2006,2.48932743389933
PORT HUENEME,C,2001,2.63510074877246
