LANDING_YEAR,PORT_NAME,SDM_90_JS_prob,AGENCY_CODE
2004,NATIONAL CITY,0.985446195,C
2004,NEAH BAY,NA,W
2004,NEWPORT,NA,O
2004,NEWPORT BEACH,0.956772225,C
2004,OCEANSIDE,0.974737708,C
2004,OXNARD,0.913814124,C
2004,PLAYA DEL REY,0.935940405,C
2004,POINT LOMA,0.984737932,C
2004,PORT HUENEME,0.906380652,C
2004,PORT ORFORD,0.260118574,O
2004,PRINCETON / HALF MOON BAY,0.410074983,C
2004,REDONDO BEACH,0.932066336,C
2004,RICHMOND,0.513827669,C
2004,SAN DIEGO,0.988975282,C
2004,SAN FRANCISCO,0.482232428,C
2004,SAN PEDRO,0.934774258,C
2004,SAN SIMEON,0.421035237,C
2004,SANTA BARBARA,0.871923055,C
2004,SANTA CRUZ,0.391702567,C
2004,SANTA MONICA,0.937189908,C
2004,SAUSALITO,0.400258855,C
2004,SEAL BEACH,0.943202119,C
2004,SHELTER COVE,0.234063283,C
2004,SOUTH SAN FRANCISCO,0.443737881,C
2004,TACOMA,NA,W
2004,TERMINAL ISLAND,0.937009745,C
2004,THE DALLES,NA,W
2004,VALLEJO,0.601923847,C
2004,VENTURA,0.920083486,C
2004,WESTPORT,NA,W
2004,WHIDBY ISLAND,NA,W
2004,WILLOW CREEK,0.539995722,C
2004,WILMINGTON,0.935940405,C
2004,WINCHESTER BAY,0.64692383,O
2005,ABERDEEN,NA,W
2005,ALAMEDA,0.634910716,C
2005,ANACORTES,NA,W
2005,ASTORIA,NA,O
2005,AVALON,0.938076602,C
2005,AVILA,0.662107634,C
2005,BELLINGHAM BAY,NA,W
2005,BERKELEY,0.646841464,C
2005,BODEGA BAY,0.282278688,C
2005,CATALINA ISLAND,0.93855153,C
2005,CHARLESTON (COOS BAY),0.384761557,O
2005,CHINOOK,NA,W
2005,CRESCENT CITY,0.437332699,C
2005,DANA POINT,0.975992764,C
2005,DILLON BEACH,0.320213543,C
2005,EMERYVILLE,0.631496657,C
2005,EUREKA,0.312642193,C
