LANDING_YEAR,PORT_NAME,AGENCY_CODE,SDM_90_JS_CPUE
2005,SAN DIEGO,C,2.784475916677369
2005,SAN FRANCISCO,C,1.5287777987485927
2005,SAN PEDRO,C,3.3850237339543114
2005,SAN SIMEON,C,1.8193576722321199
2005,SANTA BARBARA,C,3.255547771551334
2005,SANTA CRUZ,C,1.4737221408954086
2005,SANTA MONICA,C,3.567619722520561
2005,SEAL BEACH,C,3.453033510655901
2005,TACOMA,W,NA
2005,TERMINAL ISLAND,C,3.4038825759066267
2005,VALLEJO,C,1.8872843702750532
2005,VENTURA,C,3.4883466703579287
2005,WESTPORT,W,NA
2005,WILLOW CREEK,C,1.872828990929454
2005,WILMINGTON,C,3.4238774434719037
2005,WINCHESTER BAY,O,3.267778913224272
2006,ABERDEEN,W,NA
2006,ALAMEDA,C,1.2205413070397653
2006,ANACORTES,W,NA
2006,ASTORIA,O,NA
2006,AVALON,C,3.1320720811743468
2006,AVILA,C,1.9905888721981604
2006,BELLINGHAM BAY,W,NA
2006,BERKELEY,C,1.2696218664992296
2006,BODEGA BAY,C,0.5275040746572347
2006,CATALINA ISLAND,C,3.1397977072533854
2006,CHARLESTON (COOS BAY),O,1.2962702232373806
2006,CRESCENT CITY,C,1.3227965587253796
2006,DANA POINT,C,3.237750675162647
2006,DILLON BEACH,C,0.5877338520719995
2006,EUREKA,C,0.7530286197157561
2006,FORT BRAGG,C,0.2287597655677988
2006,GARIBALDI (TILLAMOOK),O,NA
2006,GAVIOTA,C,2.528543402496628
2006,GOLETA,C,2.8470684042928704
2006,GUADALUPE,C,2.203882988888503
2006,HUMBOLDT,C,0.9549662736370766
2006,HUNTINGTON BEACH,C,3.3287332497882596
2006,ILWACO,W,NA
2006,LACONNER,W,NA
2006,LONG BEACH,C,3.3482151442097963
2006,LOS ANGELES,C,3.5020753019923565
2006,MISSION BAY,C,2.7790447693420193
2006,MONTEREY,C,0.8538620005941837
2006,MORRO BAY,C,1.9103488832463584
2006,MOSS LANDING,C,1.0772277881421661
2006,"NASELLE",W,NA
2006,"NATIONAL CITY",C,2.8950326038066803
2006,NEAH BAY,W,NA
2006,NEWPORT,O,NA
2006,NEWPORT BEACH,C,3.3166493467805847
2006,OCEANSIDE,C,3.0542432228372918
2006,OXNARD,C,3.391839614932733
2006,PLAYA DEL REY,C,3.3482151442097963
2006,POINT LOMA,C,2.7572466461024905
2006,PORT HUENEME,C,3.3498811440817042
2006,PRINCETON / HALF MOON BAY,C,0.9485066085299138
2006,REDONDO BEACH,C,3.3490890469670442
2006,SAN DIEGO,C,2.7044554337906974
2006,SAN FRANCISCO,C,1.0468696586740731
2006,SAN PEDRO,C,3.315751821213752
2006,SAN SIMEON,C,1.4837440522134588
2006,SANTA BARBARA,C,3.196244054345153
2006,SANTA CRUZ,C,1.022010321253021
2006,SANTA MONICA,C,3.471827399980086
2006,SEAL BEACH,C,3.359728487050777
2006,TACOMA,W,NA
2006,TERMINAL ISLAND,C,3.3300439053048745
2006,VALLEJO,C,1.3462527562439297
2006,VENTURA,C,3.423763698010899
2006,WESTPORT,W,NA
2006,WILLOW CREEK,C,1.5775074461484517
2006,WILMINGTON,C,3.3482151442097963
2006,WINCHESTER BAY,O,2.4308424701097664
2007,ABERDEEN,W,NA
2007,ALAMEDA,C,1.0520484772982883
2007,ANACORTES,W,NA
2007,ASTORIA,O,NA
