LANDING_YEAR,LANDING_MONTH,LANDING_DAY,PORT_AREA_CODE,PSDN_SDM_30,PSDN_SDM_60,PSDN_SDM_90,PSDN_SDM_220
2001,1,9,BGA,0.20323352846834394,0.23697316472729046,0.2668231083362391,0.3122146152709363
2001,1,10,BGA,0.18125586046112907,0.21607958674430847,0.2410756689355229,0.2821087233149088
2001,1,11,BGA,0.16046470486455494,0.20095414767662684,0.21779910079909093,0.2574830776752805
2001,1,12,BGA,0.18655928638246325,0.22791085590918858,0.2422586791217327,0.27893110466073956
2001,1,13,BGA,0.17393301013443205,0.21207160651683807,0.2316699376837774,0.26841636152838816
2001,1,14,BGA,0.1741156271762318,0.21057269523541133,0.23127955999789815,0.2692724429996761
2001,1,15,BGA,0.17563963929812113,0.21006900419791538,0.2335755732474905,0.27188243534438006
2001,1,16,BGA,0.14955740339226192,0.19592196916540464,0.2245179507316965,0.2524383062353501
2001,1,17,BGA,0.15482194638914532,0.19937011028329532,0.22283924382292863,0.2550640483932382
2001,1,18,BGA,0.15680711881981957,0.19914930934707323,0.2167445243985364,0.2547174093726824
2001,1,19,BGA,0.18218467798497942,0.2229787533481916,0.2353974458846179,0.27201958810083965
2001,1,20,BGA,0.18327055871486664,0.22954135462641717,0.24320669596393904,0.2809321790757264
2001,1,21,BGA,0.1794310212135315,0.22057099590698878,0.22989640147848564,0.2687647820488941
2001,1,22,BGA,0.18416822950045267,0.22043842375278472,0.23135376890951936,0.2754114663724363
2001,1,23,BGA,0.17692260609732735,0.20824804231524469,0.22197569116498483,0.2719368866209448
2001,1,24,BGA,0.15413792348570293,0.18979633276661237,0.21089407395232806,0.2697055828112822
2001,1,25,BGA,0.14454475997222793,0.17869913193086784,0.1991473419986891,0.2625613485567668
2001,1,26,BGA,0.13355847406718466,0.1640754231562217,0.1839583862685796,0.24894385083010917
2001,1,27,BGA,0.14373326963848537,0.17066817954182625,0.19046180684006575,0.25568713292744033
2001,1,28,BGA,0.1459328697787391,0.17217616513371467,0.1926066500670982,0.255411944630936
2001,1,29,BGA,0.14188770867056316,0.1668440339465936,0.18675785421422034,0.24669417236330946
2001,1,30,BGA,0.13238802014125717,0.15738662518560886,0.1746478873784795,0.23437832344389525
2001,1,31,BGA,0.12080240870515506,0.14556147642433642,0.16321286954211467,0.22203271877483505
2001,1,1,BDA,0.2086930527136876,0.2103751144475407,0.232456676354093,0.35411039538738964
2001,1,2,BDA,0.18753210397867057,0.19788771922941562,0.2283489427044372,0.3612030957727322
2001,1,3,BDA,0.1933191051849952,0.20639923877186245,0.23896369522760721,0.366127323062377
2001,1,4,BDA,0.21051911207345816,0.22778984793910273,0.2543781301206794,0.3723721713555503
2001,1,5,BDA,0.20192929185353792,0.21944162166780895,0.24641356364754605,0.360588552329718
2001,1,6,BDA,0.21252044920737928,0.23061859966428191,0.25895873623446,0.3704799162008462
2001,1,7,BDA,0.1998719939818749,0.2188349018494288,0.24790530584075235,0.35714832149388553
2001,1,8,BDA,0.20483714456741625,0.21634524122432428,0.23488494039567048,0.3302704805752459
2001,1,9,BDA,0.21748775931505057,0.23219323875727477,0.25577838558796023,0.34673088605115837
2001,1,10,BDA,0.1941015044083962,0.20331318234955822,0.2290854986048927,0.3142101725798033
2001,1,11,BDA,0.18335117170443901,0.18698268245767663,0.21193738946737337,0.2845118277943226
2001,1,12,BDA,0.1917745631474715,0.21346278267878074,0.22827683992622314,0.30616720746675924
2001,1,13,BDA,0.18564378298245943,0.20481512364414003,0.22204423874370322,0.2957816855421716
2001,1,14,BDA,0.18485572131780478,0.2059297056661712,0.2243872257796201,0.2974035858265232
2001,1,15,BDA,0.19918831953635582,0.21520594065939938,0.2380788913689369,0.30368060233660404
2001,1,16,BDA,0.18957895842882302,0.20273589729158967,0.22634988629128322,0.28083756453044006
2001,1,17,BDA,0.1862505032466008,0.19962420369739886,0.22270441190762955,0.28487239965742844
2001,1,18,BDA,0.17522715949095213,0.18884991937213474,0.21094674142924222,0.2792717322209194
