"LANDING_YEAR","PORT_AREA_CODE","ROUND_WEIGHT_MTONS","LANDING_MONTH"
2003,"SPS",12.92,12
2003,"XXX",0,12
2004,"BDA",189.67,12
2004,"BGA",139.62,12
2004,"CCA",2889.09,12
2004,"ERA",1572.21,12
2004,"LAA",0,12
2004,"MNA",31.92,12
2004,"MRA",0,12
2004,"SBA",0,12
2004,"SFA",409,12
2004,"XXX",0,12
2004,"BRA",1148.29,12
2004,"CBA",979.04,12
2004,"CLO",1879.14,12
2004,"NPA",1414.25,12
2004,"TLA",249.35,12
2004,"XXX",0,12
2004,"CLW",820.94,12
2004,"CWA",4369.14,12
2004,"NPS",336.94,12
2004,"SPS",17.98,12
2004,"XXX",0,12
2005,"BDA",268.68,12
2005,"BGA",314.35,12
2005,"CCA",3558.8,12
2005,"ERA",2241.85,12
2005,"LAA",0,12
2005,"MNA",19.48,12
2005,"MRA",0,12
2005,"SBA",0,12
2005,"SDA",0,12
2005,"SFA",295.45,12
2005,"XXX",0,12
2005,"BRA",1847.21,12
2005,"CBA",2097.07,12
2005,"CLO",0,12
2005,"NPA",2746.07,12
2005,"TLA",564.45,12
2005,"XXX",0,12
2005,"CLW",0,12
2005,"CWA",674.16,12
2005,"NPS",143.24,12
2005,"SPS",18.38,12
2005,"XXX",0,12
2006,"BDA",295.18,12
2006,"BGA",0,12
2006,"CCA",0,12
2006,"ERA",0,12
2006,"LAA",0,12
2006,"MNA",58.78,12
2006,"MRA",0,12
2006,"SBA",0,12
2006,"SFA",1075.91,12
2006,"XXX",3.57,12
2006,"BRA",0,12
2006,"CBA",0,12
2006,"CLO",0,12
2006,"NPA",0,12
2006,"TLA",0,12
2006,"XXX",0,12
2006,"CLW",0,12
2006,"CWA",755.02,12
2006,"NPS",176.13,12
2006,"SPS",13.99,12
2006,"XXX",0,12
2007,"BDA",151.66,12
2007,"BGA",69.69,12
2007,"CCA",577.85,12
2007,"ERA",454.73,12
2007,"LAA",0,12
2007,"MNA",21.84,12
2007,"MRA",4.92,12
2007,"SBA",0,12
2007,"SFA",205.77,12
2007,"XXX",0,12
2007,"BRA",295.98,12
2007,"CBA",640.81,12
2007,"CLO",571.88,12
2007,"NPA",887.77,12
2007,"TLA",188.15,12
2007,"XXX",0,12
2007,"CLW",414.06,12
2007,"CWA",618.74,12
2007,"NPS",235.12,12
2007,"SPS",19.79,12
2007,"XXX",0,12
2008,"BDA",205.3,12
2008,"BGA",139.25,12
2008,"CA2",0,12
2008,"CCA",704.93,12
2008,"ERA",542.91,12
2008,"MNA",6.26,12
2008,"MRA",0,12
2008,"SBA",0,12
2008,"SFA",293.92,12
2008,"XXX",0,12
2008,"BRA",332.36,12
2008,"CBA",647.92,12
2008,"CLO",831.19,12
2008,"NPA",1387.69,12
2008,"TLA",190.29,12
2008,"XXX",0,12
2008,"CLW",760.32,12
2008,"CWA",642.56,12
2008,"NPS",177.26,12
2008,"SPS",20.18,12
2008,"XXX",0,12
2009,"BDA",21.26,12
2009,"BGA",120.08,12
2009,"CCA",844.22,12
2009,"ERA",712.5,12
2009,"MNA",10.01,12
2009,"MRA",0,12
2009,"SBA",0,12
2009,"SDA",0,12
2009,"SFA",62.14,12
2009,"XXX",0,12
2009,"BRA",291.85,12
2009,"CBA",1001.44,12
2009,"CLO",961.73,12
2009,"NPA",1601.4,12
2009,"TLA",222.09,12
2009,"XXX",0,12
2009,"CLW",712.1,12
2009,"CWA",693.62,12
2009,"NPS",197.07,12
2009,"SPS",10.09,12
