"VESSEL_NUM","LANDING_MONTH","LANDING_YEAR","LAT","DISTANCE_A","LANDED_WEIGHT_LBS","AFI_EXVESSEL_REVENUE","Percentage","diversity"
"AK1795AN",11,2015,34.154072,0,184195,70012.5195,1,1
"AK1795AN",11,2016,34.154072,0,171007,91916.2625,1,1
"AK1795AN",11,2017,34.154072,0,834757,439883.305,1,1
"AK1795AN",11,2018,34.154072,0,252815,127170.7525,1,1.00530693031309
"AK1795AN",11,2019,34.154072,0,86566,43802.396,1,1
"AK1795AN",12,2015,34.154072,0,178941,68015.4741,1,1
"AK1795AN",12,2016,34.0012212167975,93806.1950057368,391891,210641.4125,1,1
"AK1795AN",12,2017,34.154072,0,438291,231198.5025,1,1
"AK1795AN",12,2018,34.154072,0,227367,117094.005,1,1
"AK1795AN",12,2019,34.154072,0,19185,9707.61,1,1
"AK1795AN",4,2018,36.812905,0,12784,6583.76,1,1
"AK1795AN",5,2014,36.812905,0,159284,56736.9608,1,1
"AK1795AN",5,2018,36.8067730385508,8667.15599804185,149517,77001.255,1,1
"AK1795AN",6,2014,36.812905,0,901194,321005.3028,1,1
"AK1795AN",6,2018,36.812905,0,192806,99295.09,1,1
"AK1795AN",7,2014,36.812905,0,984777,350777.5674,1,1
"AK1795AN",8,2014,34.154072,0,138626,49378.5812,1,1
"AK1795AN",8,2016,35.3023603443343,374209.706531231,131776,70829.6,1,1
"AK1795AN",9,2014,34.154072,0,390387,139055.8494,1,1
"AK1795AN",9,2015,34.154072,0,251767,82025.6886,1,1
"AK1795AN",9,2016,34.154072,0,271057,145693.1375,1,1
"AK2103E",10,2001,NA,NA,5950,0,NA,0
"AK2103E",7,2000,46.187,0,211759,23218.4606,1,1
"AK2846AK",1,2019,36.606225,0,84099,42554.094,1,1
"AK2846AK",1,2020,34.311203,0,131350,65577,1,1.00006099894459
"AK2846AK",10,2018,34.311203,0,56971,29340.065,1,1
"AK2846AK",11,2018,34.311203,0,370377,190744.155,1,1
"AK2846AK",11,2019,34.311203,0,53841,27243.546,1,1
"AK2846AK",12,2018,36.606225,0,133110,68551.65,1,1
"AK2846AK",12,2019,34.311203,0,54775,27716.15,1,1
