year,month,port,SDM_20
2002,6,BGA,0.298011953
2002,6,BDA,0.260371559
2002,6,SFA,0.392776275
2002,6,MNA,0.317674628
2002,6,MRA,0.341556253
2002,6,SBA,0.42459138
2002,6,LAA,0.411527153
2002,6,SDA,0.336091401
2002,6,CA2,NA
2002,7,NPS,NA
2002,7,SPS,NA
2002,7,CWA,0.433834546
2002,7,CLW,0.481884299
2002,7,WA5,NA
2002,7,CLO,0.444040234
2002,7,TLA,0.373592853
2002,7,NPA,0.252129675
2002,7,CBA,0.294659869
2002,7,BRA,0.317534219
2002,7,OR1,NA
2002,7,CCA,0.359106379
2002,7,ERA,0.387707874
2002,7,BGA,0.244705762
2002,7,BDA,0.384463314
2002,7,SFA,0.453360018
2002,7,MNA,0.301919242
2002,7,MRA,0.363922932
2002,7,SBA,0.365824363
2002,7,LAA,0.422959895
2002,7,SDA,0.296492182
2002,7,CA2,NA
2002,8,NPS,NA
2002,8,SPS,NA
2002,8,CWA,0.361651537
2002,8,CLW,0.375854225
2002,8,WA5,NA
2002,8,CLO,0.343920358
2002,8,TLA,0.27649374
2002,8,NPA,0.231446491
2002,8,CBA,0.249949287
2002,8,BRA,0.300457098
2002,8,OR1,NA
2002,8,CCA,0.386993529
2002,8,ERA,0.337641102
2002,8,BGA,0.177068922
2002,8,BDA,0.208921075
2002,8,SFA,0.500513783
2002,8,MNA,0.365303223
2002,8,MRA,0.358359941
2002,8,SBA,0.419815805
2002,8,LAA,0.483209897
2002,8,SDA,0.409853429
2002,8,CA2,NA
2002,9,NPS,NA
2002,9,SPS,NA
2002,9,CWA,0.46165428
2002,9,CLW,0.448924557
2002,9,WA5,NA
2002,9,CLO,0.401854177
2002,9,TLA,0.362305922
2002,9,NPA,0.215312921
2002,9,CBA,0.279365158
2002,9,BRA,0.229782971
2002,9,OR1,NA
2002,9,CCA,0.330543024
2002,9,ERA,0.283984158
2002,9,BGA,0.26532716
2002,9,BDA,0.478967649
2002,9,SFA,0.557429856
2002,9,MNA,0.472081333
2002,9,MRA,0.346680136
2002,9,SBA,0.449251329
2002,9,LAA,0.517451948
2002,9,SDA,0.350024736
2002,9,CA2,NA
2002,10,NPS,NA
2002,10,SPS,NA
2002,10,CWA,0.388410679
2002,10,CLW,0.378836118
2002,10,WA5,NA
2002,10,CLO,0.340755384
2002,10,TLA,0.330772752
2002,10,NPA,0.217082913
2002,10,CBA,0.301554945
2002,10,BRA,0.169503707
2002,10,OR1,NA
2002,10,CCA,0.278408432
2002,10,ERA,0.357672078
2002,10,BGA,0.210924755
2002,10,BDA,0.500475123
2002,10,SFA,0.604912308
2002,10,MNA,0.377948354
2002,10,MRA,0.358271998
2002,10,SBA,0.416907375
2002,10,LAA,0.499258551
2002,10,SDA,0.365137405
2002,10,CA2,NA
2002,11,NPS,NA
2002,11,SPS,NA
