year,month,port,SDM_60,SDM_90,SDM_120
2003,4,CLO,0.5211457975940513,0.35469046280662897,0.26295014506826797
2003,4,TLA,0.32333463144188374,0.2366580184954016,0.19807110938803876
2003,4,NPA,0.2308880866232394,0.16581980707774124,0.13418951849093566
2003,4,CBA,0.159820520241188,0.13755981691811286,0.12075270262162187
2003,4,BRA,0.1880989422240565,0.1443532686927207,0.12130187258102265
2003,4,OR1,NA,NA,NA
2003,4,CCA,0.208700955369067,0.15743102142969384,0.1309414631203301
2003,4,ERA,0.26627741715731634,0.19011747443234178,0.14356113479186375
2003,4,BGA,0.3033141765101916,0.2456184334987116,0.1926263000020931
2003,4,BDA,0.45031016159480736,0.3544844998549619,0.2761751781456609
2003,4,SFA,0.582527487272141,0.4384683409250445,0.3251009633882319
2003,4,MNA,0.4169087729014364,0.3299218275315933,0.2596481484330235
2003,4,MRA,0.5097722088347892,0.3852131680833797,0.31740811397719526
2003,4,SBA,0.5660147051533891,0.49526385780350834,0.4498250263359257
2003,4,LAA,0.29027124082128847,0.25216731169796364,0.2508162696859813
2003,4,SDA,0.20451659560417648,0.16659909603907055,0.1525543100985124
2003,4,CA2,NA,NA,NA
2003,5,NPS,NA,NA,NA
2003,5,SPS,NA,NA,NA
2003,5,CWA,0.3329992111539969,0.2571307724378469,0.2167082490619431
2003,5,CLW,0.40500343251063525,0.2887293303240824,0.2203750231612898
2003,5,WA5,NA,NA,NA
2003,5,CLO,0.4174416961860822,0.2917370458132608,0.22128973589812495
2003,5,TLA,0.2817332247820782,0.22304786876838456,0.181590923129227
2003,5,NPA,0.20106301202328616,0.1553152822290564,0.12782738886411452
2003,5,CBA,0.2063993878349761,0.1637159480067179,0.13883481943775666
2003,5,BRA,0.3633482422559492,0.26621258496845956,0.20779188169189244
2003,5,OR1,NA,NA,NA
2003,5,CCA,0.408219130278335,0.3049357722464847,0.23336032578684773
2003,5,ERA,0.43914800534466153,0.3242578491954548,0.24843951424334473
2003,5,BGA,0.3877276853007334,0.3251042011704201,0.2561679857804915
2003,5,BDA,0.47267497830724914,0.3762717255828413,0.29526093849229945
2003,5,SFA,0.553304390773262,0.44261568025101683,0.3502482955902947
2003,5,MNA,0.43004374773983745,0.34773034802212816,0.2664922576117167
2003,5,MRA,0.38611099648781716,0.31488868153416427,0.2542757073808631
2003,5,SBA,0.5998541332821372,0.4914502239751333,0.3958503770457435
2003,5,LAA,0.25185585568555313,0.22111118944910144,0.22440752712860856
2003,5,SDA,0.16690470239518415,0.13622773265627425,0.13417580870672496
2003,5,CA2,NA,NA,NA
2003,6,NPS,NA,NA,NA
2003,6,SPS,NA,NA,NA
2003,6,CWA,0.4875148293558094,0.3541982833959101,0.28322108484547986
2003,6,CLW,0.5299552614509901,0.3808822947833237,0.29396121059810476
2003,6,WA5,NA,NA,NA
2003,6,CLO,0.5460321364835614,0.3867697408032425,0.2934635547942198
2003,6,TLA,0.4115041766743191,0.30485678305152064,0.24340871844013526
2003,6,NPA,0.353805591209293,0.26642893381366456,0.22011564360716365
2003,6,CBA,0.43047751541096696,0.3493176295695293,0.2890037299945807
2003,6,BRA,0.6648415809156754,0.5115930691548543,0.4040810344248706
2003,6,OR1,NA,NA,NA
2003,6,CCA,0.6643883268852703,0.5516986747609022,0.43651526680365366
2003,6,ERA,0.6661615404931979,0.5515386414939115,0.4271954969979469
2003,6,BGA,0.5310217253160145,0.4168043199957188,0.33539470949055333
2003,6,BDA,0.5869307509267035,0.46101510982252347,0.37643794209258336
2003,6,SFA,0.6041376786050843,0.5135933598158536,0.4116439549238745
2003,6,MNA,0.47097497246239656,0.36914324069837645,0.2969480794761473
2003,6,MRA,0.3410599786458778,0.2882102403112433,0.24879486652584668
2003,6,SBA,0.210108490076123,0.22454191437782414,0.2374404162988189
2003,6,LAA,0.11930513862840911,0.13111021153511493,0.1575407810498018
2003,6,SDA,0.12586253222035265,0.11371335758341188,0.11774893381986623
2003,6,CA2,NA,NA,NA
2003,7,NPS,NA,NA,NA
2003,7,SPS,NA,NA,NA
2003,7,CWA,0.5271970149474119,0.3871374875325628,0.30717986692988225
2003,7,CLW,0.5890891945482644,0.42357806974038825,0.32296293886051003
2003,7,WA5,NA,NA,NA
2003,7,CLO,0.6074417073125115,0.43149595782215383,0.3250211812247693
2003,7,TLA,0.4829065936313679,0.3504898719158234,0.2858792081192967
2003,7,NPA,0.4900926912015892,0.3582193769440266,0.28017587027524554
2003,7,CBA,0.4593643293631608,0.38643692885447245,0.3241827879856593
2003,7,BRA,0.5549511444773312,0.41398988302691725,0.32508485727596387
2003,7,OR1,NA,NA,NA
2003,7,CCA,0.47704300060592464,0.3998977864138024,0.3290508366147629
2003,7,ERA,0.4547365983788575,0.38297635528018203,0.3053865650401947
2003,7,BGA,0.49174430240746786,0.3711643181325875,0.2886483678816926
2003,7,BDA,0.4689708500610956,0.35946802175210274,0.28716810063491494
2003,7,SFA,0.5080008956071774,0.4029221624816938,0.3235950932274475
2003,7,MNA,0.3810598659401441,0.3031138959786299,0.23554991580539256
2003,7,MRA,0.34099225069128264,0.27344672822194105,0.23065207298603171
2003,7,SBA,0.2376286935321586,0.26437073927620103,0.29798747673535997
2003,7,LAA,0.16033982516544543,0.16586411984413596,0.1868970210587379
2003,7,SDA,0.15806113741048783,0.14108610359617363,0.13514376020622051
2003,7,CA2,NA,NA,NA
2003,8,NPS,NA,NA,NA
