year,month,port,SDM_60,SDM_90
2010,7,CLO,0.35962646924525776,0.3108832727879184
2010,7,TLA,0.2727303996855528,0.23771616864327713
2010,7,NPA,0.22778200804968735,0.20192304408521194
2010,7,CBA,0.26373449535215443,0.22052458953079307
2010,7,BRA,0.2459748694063999,0.19340584466229707
2010,7,OR1,NA,NA
2010,7,CCA,0.2899961107311405,0.22536028373967562
2010,7,ERA,0.3332114029588702,0.23497705394032056
2010,7,BGA,0.16733776171221046,0.13244813812062697
2010,7,BDA,0.3215006197866146,0.239347640667791
2010,7,SFA,0.40951599123440613,0.31775523392169813
2010,7,MNA,0.2875495519991986,0.22846152750544044
2010,7,MRA,0.3491741932629362,0.29351637241733736
2010,7,SBA,0.5857558624758836,0.5111981466327717
2010,7,LAA,0.5030176288425985,0.4172090717513518
2010,7,SDA,0.3621252633722393,0.31137228931532407
2010,7,CA2,NA,NA
2010,8,NPS,NA,NA
2010,8,SPS,NA,NA
2010,8,CWA,0.35911168360581963,0.2706559669554281
2010,8,CLW,0.3698474577777336,0.29665761774988403
2010,8,WA5,NA,NA
2010,8,CLO,0.3686646469976015,0.2985318808976601
2010,8,TLA,0.2715508170792314,0.2236660547369883
2010,8,NPA,0.22224627409170392,0.19002584160696115
2010,8,CBA,0.24447572430623415,0.19436199110431232
2010,8,BRA,0.20732374449379734,0.17169851032787398
2010,8,OR1,NA,NA
2010,8,CCA,0.23710029333384658,0.19010097621420108
2010,8,ERA,0.2676869799280425,0.18458661324918868
2010,8,BGA,0.15364496400479669,0.12482158446689942
2010,8,BDA,0.3475406321328636,0.2640255880007042
2010,8,SFA,0.47654005470888894,0.35350420102477076
2010,8,MNA,0.38927574232309664,0.2917546053168029
2010,8,MRA,0.4038606672115511,0.3355670382342468
2010,8,SBA,0.5804544031339628,0.5173140227756947
2010,8,LAA,0.5115726403930805,0.45480227553665803
2010,8,SDA,0.3951813652199818,0.3609695241862001
2010,8,CA2,NA,NA
2010,9,NPS,NA,NA
2010,9,SPS,NA,NA
2010,9,CWA,0.34174483739998607,0.2629694129455329
2010,9,CLW,0.4430660833915075,0.3266937382735204
2010,9,WA5,NA,NA
2010,9,CLO,0.46347462061703915,0.3372015008651134
2010,9,TLA,0.3449632528192196,0.26901252551931115
2010,9,NPA,0.2691310814572404,0.22092967046181428
2010,9,CBA,0.22548326807362692,0.18136671555573952
2010,9,BRA,0.21492725407043772,0.16587469079510467
2010,9,OR1,NA,NA
2010,9,CCA,0.26865680305073497,0.19598712685279165
2010,9,ERA,0.2468981551916349,0.18534176551178996
2010,9,BGA,0.17694875731909027,0.1485727937482862
2010,9,BDA,0.36743689341999497,0.2815027886724546
2010,9,SFA,0.5077205049640993,0.3742843054317766
2010,9,MNA,0.38949498562717144,0.2909986191623881
2010,9,MRA,0.37892623442877715,0.31189165125967877
2010,9,SBA,0.5460711639581455,0.49681953723037164
2010,9,LAA,0.5221473898618452,0.4481629292483092
2010,9,SDA,0.39436230610670714,0.35645846540885645
2010,9,CA2,NA,NA
2010,10,NPS,NA,NA
2010,10,SPS,NA,NA
2010,10,CWA,0.49012931636264245,0.3646392988427518
2010,10,CLW,0.5434812470179488,0.41097452400958445
2010,10,WA5,NA,NA
2010,10,CLO,0.5509059156209642,0.4115942822858502
2010,10,TLA,0.37151676038155035,0.3133574142292762
2010,10,NPA,0.3480726612926637,0.26279070393085713
2010,10,CBA,0.22614331042162283,0.19526057031093633
2010,10,BRA,0.2143109663002945,0.17474428563775068
2010,10,OR1,NA,NA
2010,10,CCA,0.24765904143941206,0.18882755058547182
2010,10,ERA,0.25758884886323213,0.19004392106949852
2010,10,BGA,0.17451532564416367,0.13961752317663745
2010,10,BDA,0.32250839587314367,0.25563003763087716
2010,10,SFA,0.5018330917568202,0.3622132695436905
2010,10,MNA,0.3642258637383349,0.2983089838932615
2010,10,MRA,0.46642897917672627,0.3843521666841423
2010,10,SBA,0.6406941657825824,0.5871496309233496
2010,10,LAA,0.5901086482991785,0.51906768455704
2010,10,SDA,0.4345570610912809,0.3897581511542129
2010,10,CA2,NA,NA
2010,11,NPS,NA,NA
2010,11,SPS,NA,NA
2010,11,CWA,0.27826643292937014,0.21266463830120433
2010,11,CLW,0.311657021994944,0.23061904625265278
2010,11,WA5,NA,NA
2010,11,CLO,0.3100974889472127,0.23661804541926643
2010,11,TLA,0.24160197306566877,0.18500353571900352
2010,11,NPA,0.21154044106264006,0.16257208626935477
2010,11,CBA,0.1723897100598724,0.13987301943710012
2010,11,BRA,0.15006910603974136,0.13029396561310375
2010,11,OR1,NA,NA
2010,11,CCA,0.1634425847908187,0.14029280453633802
2010,11,ERA,0.2123835766859267,0.16425201965243993
2010,11,BGA,0.20196140002148846,0.15334212970943426
2010,11,BDA,0.32394030342499414,0.25661740137607925
2010,11,SFA,0.5279352717539844,0.3948272577783576
2010,11,MNA,0.4270276390958899,0.33376927039149284
2010,11,MRA,0.4780642147372369,0.39150817366937796
2010,11,SBA,0.6327618349136578,0.5926584024347511
2010,11,LAA,0.6059539632130695,0.5503152529242158
2010,11,SDA,0.42003299691553775,0.3713180944988421
2010,11,CA2,NA,NA
2010,12,NPS,NA,NA
2010,12,SPS,NA,NA
2010,12,CWA,0.22521382393745276,0.16966583340801122
2010,12,CLW,0.2661378266476322,0.19412565808961274
2010,12,WA5,NA,NA
2010,12,CLO,0.26792606405253716,0.1969766697063738
2010,12,TLA,0.19931346357859964,0.15148780838619613
2010,12,NPA,0.18195647574170973,0.13896804026692522
2010,12,CBA,0.19374491634832125,0.15106706194052893
2010,12,BRA,0.20688653958466818,0.16015850904753903
2010,12,OR1,NA,NA
2010,12,CCA,0.2083002087198583,0.16666784428842585
2010,12,ERA,0.2293340779306115,0.16282218170707627
2010,12,BGA,0.16828636772548541,0.13513106185349144
2010,12,BDA,0.24776801598846032,0.1894263904202772
2010,12,SFA,0.34722144507731384,0.2558306064325361
2010,12,MNA,0.2670154632400838,0.21335993276124593
2010,12,MRA,0.3030923982757601,0.24089809223045627
2010,12,SBA,0.6319640211474437,0.5612952044995032
2010,12,LAA,0.5790506062229573,0.5122144322172213
2010,12,SDA,0.3803379289825652,0.32246872654318953
2010,12,CA2,NA,NA
2011,1,NPS,NA,NA
2011,1,SPS,NA,NA
2011,1,CWA,0.10111414249644925,0.08263827576603944
2011,1,CLW,0.13729136523854718,0.09669423040729758
2011,1,WA5,NA,NA
2011,1,CLO,0.1434346196116946,0.10600654211826034
2011,1,TLA,0.12462600903404887,0.09338573663082685
2011,1,NPA,0.12540334967550623,0.09611096482095728
2011,1,CBA,0.15501911461786932,0.11089339064010047
2011,1,BRA,0.14663214807909342,0.11188243909602874
2011,1,OR1,NA,NA
2011,1,CCA,0.15351470336521583,0.12066338163824418
2011,1,ERA,0.16083195866781405,0.12173063950995568
2011,1,BGA,0.13017497481571302,0.102850951973791
2011,1,BDA,0.17788354287176955,0.13774898804919203
2011,1,SFA,0.23676230557555078,0.17275972347775542
2011,1,MNA,0.19674213148975445,0.15164770552320248
2011,1,MRA,0.21790449831913522,0.18051197800954635
2011,1,SBA,0.4095172688054542,0.3551830865442753
2011,1,LAA,0.3775637832780679,0.31157273077198216
2011,1,SDA,0.24111613889021435,0.20539033695214534
2011,1,CA2,NA,NA
2011,2,NPS,NA,NA
2011,2,SPS,NA,NA
2011,2,CWA,0.1414950398143403,0.10831628405359295
2011,2,CLW,0.19542851732020466,0.12947553651090057
2011,2,WA5,NA,NA
2011,2,CLO,0.19422383634428209,0.13431476109345564
2011,2,TLA,0.12404440094368419,0.0981028107284938
2011,2,NPA,0.11303053351418514,0.08486514854466032
2011,2,CBA,0.12267730947052785,0.09368410871914162
2011,2,BRA,0.09618684377259476,0.08086446594445075
2011,2,OR1,NA,NA
2011,2,CCA,0.10570973506637912,0.08705576537304896
2011,2,ERA,0.13130141429837078,0.09835897609456509
2011,2,BGA,0.11649543648624482,0.09008072422327498
2011,2,BDA,0.2155471232537397,0.15882005471403027
2011,2,SFA,0.2858856839730459,0.2139261002356689
2011,2,MNA,0.18552358076715517,0.14707742414897257
2011,2,MRA,0.2807920285155752,0.22922548688101496
2011,2,SBA,0.4010754358106559,0.3735013280927363
2011,2,LAA,0.3400551080059964,0.28067889448498345
2011,2,SDA,0.22664173606214266,0.18697850466197768
2011,2,CA2,NA,NA
2011,3,NPS,NA,NA
2011,3,SPS,NA,NA
2011,3,CWA,0.14564390185208972,0.11167046956504574
2011,3,CLW,0.1808269400792066,0.11980279760519812
2011,3,WA5,NA,NA
2011,3,CLO,0.17264864467167554,0.12259950196827678
2011,3,TLA,0.10168675969207888,0.07687944859735668
2011,3,NPA,0.09263300102145677,0.0679111572704434
2011,3,CBA,0.10272089530751052,0.07875131939280557
2011,3,BRA,0.11904299841577363,0.08865329060724916
2011,3,OR1,NA,NA
2011,3,CCA,0.11763492563718733,0.09587748225884646
2011,3,ERA,0.1440058904456532,0.10488263441270627
2011,3,BGA,0.12474237909760846,0.09937495057790185
2011,3,BDA,0.20179773344165391,0.15334051611685048
2011,3,SFA,0.26034112594159325,0.1869113975955594
2011,3,MNA,0.1907820904754289,0.13905084933403283
2011,3,MRA,0.20537252321476368,0.15998964377643426
2011,3,SBA,0.4231836565830294,0.3601171025307702
2011,3,LAA,0.34610813198287455,0.2896488232423138
2011,3,SDA,0.2698707253660787,0.22058057990081273
2011,3,CA2,NA,NA
2011,4,NPS,NA,NA
2011,4,SPS,NA,NA
2011,4,CWA,0.21827961242447297,0.16643657311682164
2011,4,CLW,0.2753559636006319,0.19049643525124893
2011,4,WA5,NA,NA
2011,4,CLO,0.2696047329155373,0.19225709097497543
2011,4,TLA,0.1635724577612544,0.1310655084597779
2011,4,NPA,0.14755720003246978,0.10897237441092436
2011,4,CBA,0.16901920752121855,0.12475038987088144
2011,4,BRA,0.15626451084390283,0.12074878610815155
2011,4,OR1,NA,NA
2011,4,CCA,0.17477336487035608,0.13075031459785233
2011,4,ERA,0.17185367711701954,0.12526274943422833
2011,4,BGA,0.08748476593043758,0.06958306030205079
2011,4,BDA,0.15999030361317074,0.13576086581814212
2011,4,SFA,0.34001415788159506,0.2288312559597263
2011,4,MNA,0.2685875110903088,0.2019246017034192
2011,4,MRA,0.22470839656636019,0.17710489966144616
2011,4,SBA,0.27290405104868115,0.2744025747480443
2011,4,LAA,0.27690964327143724,0.252785122288963
2011,4,SDA,0.20758741405503503,0.18949997628161444
2011,4,CA2,NA,NA
2011,5,NPS,NA,NA
2011,5,SPS,NA,NA
2011,5,CWA,0.25262250088075155,0.20184806111179313
2011,5,CLW,0.4176837348184156,0.27732685858940215
2011,5,WA5,NA,NA
2011,5,CLO,0.43723539243696885,0.29189068268286295
2011,5,TLA,0.28307393951305065,0.2174641396602169
2011,5,NPA,0.2016434108971355,0.1544019459075284
2011,5,CBA,0.18367075369418187,0.13681771108577673
2011,5,BRA,0.16600480685679245,0.13777504986525735
2011,5,OR1,NA,NA
2011,5,CCA,0.22651931305432182,0.16627102197903595
2011,5,ERA,0.23528817916978917,0.16626736828526148
2011,5,BGA,0.09908312930755557,0.07735533355760278
2011,5,BDA,0.16592849761118564,0.13529526470432623
2011,5,SFA,0.3196870170646759,0.2328037934444551
2011,5,MNA,0.17825958155887814,0.14025036179948905
2011,5,MRA,0.1585080410875601,0.12192094427700048
2011,5,SBA,0.30142171919766453,0.26520251083805696
2011,5,LAA,0.3144161349373727,0.28426196219119015
2011,5,SDA,0.2269008885924026,0.20322963371134845
2011,5,CA2,NA,NA
2011,6,NPS,NA,NA
2011,6,SPS,NA,NA
2011,6,CWA,0.24774850108722846,0.19804869562755395
2011,6,CLW,0.41639140028132016,0.2948795569813158
2011,6,WA5,NA,NA
2011,6,CLO,0.4480655774030657,0.3145449698173601
2011,6,TLA,0.34576293748747455,0.25828469178823815
2011,6,NPA,0.22226657819642562,0.17997346395660224
2011,6,CBA,0.22075283453262673,0.16140494870476668
2011,6,BRA,0.14785674325621095,0.12370681563970637
2011,6,OR1,NA,NA
2011,6,CCA,0.18553860437155503,0.14515683603473006
2011,6,ERA,0.21437696351766072,0.1447702064203067
2011,6,BGA,0.10939362387172878,0.07912369843635877
2011,6,BDA,0.1233586871392887,0.11319382812509687
2011,6,SFA,0.25629821485821525,0.1693610601965338
2011,6,MNA,0.14526091608920216,0.12125951876905931
2011,6,MRA,0.14593417552762292,0.11934234637654188
2011,6,SBA,0.26142674730055865,0.26160310192484093
2011,6,LAA,0.25799449579289524,0.23755825213071086
2011,6,SDA,0.24012059830985535,0.2080836993551708
2011,6,CA2,NA,NA
2011,7,NPS,NA,NA
2011,7,SPS,NA,NA
2011,7,CWA,0.3054909256260882,0.2333376579489581
2011,7,CLW,0.4041599254011803,0.31624324585373376
2011,7,WA5,NA,NA
2011,7,CLO,0.4201886108497046,0.33391958421400275
2011,7,TLA,0.3729797303676605,0.29284694868602756
2011,7,NPA,0.25319645692751847,0.2108339406765101
2011,7,CBA,0.2086043079186725,0.1604788032836826
2011,7,BRA,0.14571358489490946,0.11600652809340838
2011,7,OR1,NA,NA
2011,7,CCA,0.162137713392636,0.12625561385662767
2011,7,ERA,0.17038543656203187,0.11840860251325969
2011,7,BGA,0.09917782940701532,0.0845092456584809
2011,7,BDA,0.19930714821017914,0.15960276097936196
2011,7,SFA,0.30614405746732537,0.23613243149893898
2011,7,MNA,0.1816721791857709,0.14712698376564917
2011,7,MRA,0.2937210043837084,0.2316457371208325
2011,7,SBA,0.2926126681318286,0.27841270050525213
2011,7,LAA,0.2867575933600502,0.2530352428067236
2011,7,SDA,0.20664322731376225,0.18903529426853669
2011,7,CA2,NA,NA
2011,8,NPS,NA,NA
2011,8,SPS,NA,NA
2011,8,CWA,0.2718610541266139,0.20795263838963543
2011,8,CLW,0.3447987240053908,0.27200289059982447
2011,8,WA5,NA,NA
2011,8,CLO,0.3665655208021952,0.28464662493593473
2011,8,TLA,0.30742991349641635,0.2514841803909045
2011,8,NPA,0.2578897038684067,0.20377823331904027
2011,8,CBA,0.2051105242808141,0.16502665238677508
2011,8,BRA,0.1469192521459579,0.11821838185603521
2011,8,OR1,NA,NA
2011,8,CCA,0.1695197722300816,0.1393139607541115
2011,8,ERA,0.1961742766746408,0.14130039863717708
2011,8,BGA,0.11068919295725482,0.08736516421495547
2011,8,BDA,0.15980762821202707,0.13567179279221642
2011,8,SFA,0.25813683873109616,0.18616066026137507
2011,8,MNA,0.20067740990385288,0.15842625713449413
2011,8,MRA,0.3194440968182622,0.261248023958762
2011,8,SBA,0.29151661703062637,0.2743032483429961
2011,8,LAA,0.27766515762699256,0.2500004129792292
2011,8,SDA,0.26327923419279303,0.23472900377434616
2011,8,CA2,NA,NA
2011,9,NPS,NA,NA
2011,9,SPS,NA,NA
2011,9,CWA,0.2751006353166368,0.21850684276310567
2011,9,CLW,0.3390568496767806,0.24815820884994336
2011,9,WA5,NA,NA
2011,9,CLO,0.35316345778604347,0.25726984347348486
2011,9,TLA,0.27652614972671197,0.21912724508404516
2011,9,NPA,0.23600819058189487,0.17326513960105913
2011,9,CBA,0.13962662244639384,0.11289245523512363
2011,9,BRA,0.12719115315365695,0.10349722046651728
2011,9,OR1,NA,NA
2011,9,CCA,0.15806445124065452,0.1193241321759967
2011,9,ERA,0.16778408137803105,0.1257946980158812
2011,9,BGA,0.16436661766945487,0.12646514787691449
2011,9,BDA,0.2684457553067693,0.2138397651742477
2011,9,SFA,0.3431484354915572,0.26200464588210537
2011,9,MNA,0.2324347234894464,0.18656417557990737
2011,9,MRA,0.3004493903242001,0.24213539555894606
2011,9,SBA,0.278412832151581,0.26225659575045496
2011,9,LAA,0.31006529987739617,0.2757760885936694
2011,9,SDA,0.2609522898734986,0.23257746526829684
2011,9,CA2,NA,NA
2011,10,NPS,NA,NA
2011,10,SPS,NA,NA
2011,10,CWA,0.3311294343795187,0.25593172867490516
2011,10,CLW,0.3952147650965897,0.28525729052105925
2011,10,WA5,NA,NA
2011,10,CLO,0.39500805946315903,0.2925627283608124
2011,10,TLA,0.28978147059442627,0.2257611547105185
2011,10,NPA,0.22695561246045173,0.1825131221378828
2011,10,CBA,0.21507964900485443,0.16487995060376556
2011,10,BRA,0.1575539255423644,0.12889355187926982
2011,10,OR1,NA,NA
2011,10,CCA,0.18473725341800215,0.14542833054276466
2011,10,ERA,0.17624908461918157,0.1454549653824835
2011,10,BGA,0.20671675170481366,0.16596274375223635
2011,10,BDA,0.301185418554585,0.24890460418619192
2011,10,SFA,0.36851323755065674,0.3072847723814001
2011,10,MNA,0.30305729399623266,0.24670672189177484
2011,10,MRA,0.29955705091445517,0.24858171031359702
2011,10,SBA,0.3526002893134231,0.31921259559111304
2011,10,LAA,0.28196421065963767,0.26020845853535995
2011,10,SDA,0.23608268182455366,0.2134085258978528
2011,10,CA2,NA,NA
2011,11,NPS,NA,NA
2011,11,SPS,NA,NA
2011,11,CWA,0.2510390530230525,0.18656062064610682
2011,11,CLW,0.3021592880849556,0.21084726825309089
2011,11,WA5,NA,NA
2011,11,CLO,0.30054837998801043,0.21803685802802714
